"ID" "Description" "GeneRatio" "BgRatio" "RichFactor" "FoldEnrichment" "zScore" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "category" "subcategory" "ONTOLOGY"
"GO:1903900" "GO:1903900" "regulation of viral life cycle" "28/760" "136/13317" 0.205882352941176 3.60754643962848 7.51931135593353 2.33105539247094e-09 9.89766119643162e-06 9.58922576186994e-06 "Bsg/Clec4g/Fcnb/Gbp7/Ifi203-ps/Ifitm1/Ifitm3/Ifnb1/Ifnl3/Isg15/Isg20/Nectin2/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2/Pkn2/Plscr1/Rad23a/Rsad2/Trim10/Trim12c/Trim30a/Trim34b/Trim58" 28 "" "" "BP"
"GO:0050792" "GO:0050792" "regulation of viral process" "29/760" "163/13317" 0.177914110429448 3.11747659024863 6.69166580619597 3.89395556753205e-08 5.59968338555744e-05 5.42518349672967e-05 "Bsg/Clec4g/Cxcr4/Fcnb/Gbp7/Ifi203-ps/Ifitm1/Ifitm3/Ifnb1/Ifnl3/Isg15/Isg20/Nectin2/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2/Pkn2/Plscr1/Rad23a/Rsad2/Trim10/Trim12c/Trim30a/Trim34b/Trim58" 29 "" "" "BP"
"GO:0045071" "GO:0045071" "negative regulation of viral genome replication" "16/760" "55/13317" 0.290909090909091 5.09741626794258 7.49096318327092 3.95644139346969e-08 5.59968338555744e-05 5.42518349672967e-05 "Ifi203-ps/Ifitm1/Ifitm3/Ifnb1/Ifnl3/Isg15/Isg20/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2/Plscr1/Rsad2" 16 "" "" "BP"
"GO:0045069" "GO:0045069" "regulation of viral genome replication" "19/760" "81/13317" 0.234567901234568 4.11018518518518 6.90718551895699 9.9634398588152e-08 9.83240324931165e-05 9.52600141267569e-05 "Gbp7/Ifi203-ps/Ifitm1/Ifitm3/Ifnb1/Ifnl3/Isg15/Isg20/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2/Pkn2/Plscr1/Rad23a/Rsad2" 19 "" "" "BP"
"GO:0042742" "GO:0042742" "defense response to bacterium" "33/760" "211/13317" 0.156398104265403 2.74046520329259 6.26934591632772 1.15784305809134e-07 9.83240324931165e-05 9.52600141267569e-05 "Adgrb1/Arg2/Camp/Card9/Cd36/Clec4e/Ctsg/Gbp7/Havcr2/Ifnb1/Igha/Ighg1/Ighg2b/Ighg2c/Iigp1/Isg15/Jchain/Lgals4/Naip5/Naip6/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Rarres2/Rasgrp4/Slc15a2/Trem2/Trem3/Wfdc17/Wfdc21" 33 "" "" "BP"
"GO:0006959" "GO:0006959" "humoral immune response" "25/760" "136/13317" 0.183823529411765 3.22102360681115 6.40470588545719 1.75059368689168e-07 0.000110979601219785 0.000107521204245957 "C2/C4b/Camp/Ccl21a/Ccl22/Cd55b/Cd59a/Ctsg/Cxcl12/Cxcl9/Exo1/Fcna/Fcnb/Ifnb1/Igha/Ighg1/Ighg2b/Ighg2c/Jchain/Lgals4/Rarres2/Serping1/Trem2/Wfdc17/Wfdc21" 25 "" "" "BP"
"GO:0051607" "GO:0051607" "defense response to virus" "39/760" "279/13317" 0.139784946236559 2.44936332767402 6.01900388971949 1.82962131073597e-07 0.000110979601219785 0.000107521204245957 "Bcl2l1/Bnip3l/Bnip3l-ps/Card9/Cxcl9/Ddit4/Gbp7/Ifi203-ps/Ifit1/Ifit1bl2/Ifit3b/Ifitm1/Ifitm3/Ifnb1/Ifnl2/Ifnl3/Irf7/Isg15/Isg20/Itgax/Nt5c3/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2/Plscr1/Riok3/Rsad2/Rtp4/Selenok/Serinc3/Trim12c/Trim30a/Trim34b/Usp18/Zdhhc1" 39 "" "" "BP"
"GO:0048525" "GO:0048525" "negative regulation of viral process" "20/760" "97/13317" 0.206185567010309 3.61285946825827 6.35384964724076 4.40607418968175e-07 0.000233852387617359 0.000226564972806267 "Fcnb/Ifi203-ps/Ifitm1/Ifitm3/Ifnb1/Ifnl3/Isg15/Isg20/Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2/Plscr1/Rsad2/Trim10/Trim12c/Trim30a" 20 "" "" "BP"
"GO:0006956" "GO:0006956" "complement activation" "12/760" "38/13317" 0.315789473684211 5.53337950138504 6.88465103113264 7.48332399122023e-07 0.000353046596296901 0.000342044797165949 "C2/C4b/Cd55b/Cd59a/Fcna/Fcnb/Igha/Ighg1/Ighg2b/Ighg2c/Serping1/Trem2" 12 "" "" "BP"
"GO:0070106" "GO:0070106" "interleukin-27-mediated signaling pathway" "7/760" "12/13317" 0.583333333333333 10.2213815789474 7.86194351485529 1.18074211364217e-06 0.000501343101452464 0.000485720018959325 "Oas1a/Oas1b/Oas1e/Oas1g/Oas2/Oas3/Oasl2" 7 "" "" "BP"
