"ID" "Description" "GeneRatio" "BgRatio" "RichFactor" "FoldEnrichment" "zScore" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "category" "subcategory" "ONTOLOGY"
"GO:0097529" "GO:0097529" "myeloid leukocyte migration" "60/1446" "191/12912" 0.31413612565445 2.8050661510721 8.92498095316676 3.11595991883394e-14 1.59630626641863e-10 1.38250221661948e-10 "Abr/Anxa1/App/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Ccr2/Cd177/Cd200r1/Cd300a/Cmklr1/Csf1/Csf1r/Csf3r/Ctsg/Cx3cr1/Cxcl10/Cxcl9/Dapk2/Dusp1/Emilin1/Fcer1g/Fcgr3/Flt1/Fpr2/Fut7/Gp2/Gpr35/Itga1/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Mmp9/Mpp1/Mtus1/Myd88/Myo1f/Nod2/Pla2g7/Plcb1/Prtn3/Ptpro/Rarres2/Retnlg/Sirpa/Slamf8/Spi1/Spp1/Tlr2/Trem2/Trpv4/Vav3/Vegfc" 60 "" "" "BP"
"GO:0006935" "GO:0006935" "chemotaxis" "79/1446" "319/12912" 0.247648902821317 2.21137111564927 7.77975771835744 4.39883539433528e-12 7.51174457505987e-09 6.50564603056954e-09 "Agr2/Alox5/Anxa1/App/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Ccr2/Cmklr1/Cmtm3/Cmtm8/Csf1/Csf1r/Csf3r/Ctsg/Cx3cr1/Cxcl10/Cxcl9/Cyp7b1/Cysltr1/Dapk2/Dock4/Dusp1/Elmo2/F7/Fcer1g/Fcgr3/Fes/Flt1/Fn1/Fpr2/Gpr35/Gstp2/Hgf/Hsd3b7/Itga1/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Lrp1/Megf8/Met/Mmp9/Mpp1/Mtus1/Nod2/Nox1/Nrg1/Nrp1/Padi2/Pla2g7/Ptafr/Ptgr1/Ptpro/Rarres2/Retnlg/Rhog/Ryk/S100a4/Saa3/Sema4a/Sema4c/Slamf8/Slc8b1/Spi1/Spp1/Stx3/Tiam1/Trem2/Trpv4/Vav3/Vegfc" 79 "" "" "BP"
"GO:0042330" "GO:0042330" "taxis" "79/1446" "319/12912" 0.247648902821317 2.21137111564927 7.77975771835744 4.39883539433528e-12 7.51174457505987e-09 6.50564603056954e-09 "Agr2/Alox5/Anxa1/App/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Ccr2/Cmklr1/Cmtm3/Cmtm8/Csf1/Csf1r/Csf3r/Ctsg/Cx3cr1/Cxcl10/Cxcl9/Cyp7b1/Cysltr1/Dapk2/Dock4/Dusp1/Elmo2/F7/Fcer1g/Fcgr3/Fes/Flt1/Fn1/Fpr2/Gpr35/Gstp2/Hgf/Hsd3b7/Itga1/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Lrp1/Megf8/Met/Mmp9/Mpp1/Mtus1/Nod2/Nox1/Nrg1/Nrp1/Padi2/Pla2g7/Ptafr/Ptgr1/Ptpro/Rarres2/Retnlg/Rhog/Ryk/S100a4/Saa3/Sema4a/Sema4c/Slamf8/Slc8b1/Spi1/Spp1/Stx3/Tiam1/Trem2/Trpv4/Vav3/Vegfc" 79 "" "" "BP"
"GO:0060326" "GO:0060326" "cell chemotaxis" "63/1446" "235/12912" 0.268085106382979 2.39385538977664 7.6577559787386 1.87291387351067e-11 2.3987344434988e-08 2.07745578338092e-08 "Agr2/Alox5/Anxa1/App/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Ccr2/Cmklr1/Csf1/Csf1r/Csf3r/Ctsg/Cx3cr1/Cxcl10/Cxcl9/Cyp7b1/Dapk2/Dock4/Dusp1/Elmo2/F7/Fcer1g/Fcgr3/Flt1/Fpr2/Gpr35/Gstp2/Hgf/Hsd3b7/Itga1/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Met/Mmp9/Mpp1/Mtus1/Nod2/Nox1/Nrp1/Padi2/Pla2g7/Ptpro/Rarres2/Retnlg/Rhog/Saa3/Slamf8/Slc8b1/Spi1/Spp1/Tiam1/Trpv4/Vav3/Vegfc" 63 "" "" "BP"
"GO:0030595" "GO:0030595" "leukocyte chemotaxis" "52/1446" "182/12912" 0.285714285714286 2.55127445168939 7.48459405894803 8.7788039596442e-11 8.99476253705144e-08 7.79003340840006e-08 "Alox5/Anxa1/App/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Ccr2/Cmklr1/Csf1/Csf1r/Csf3r/Ctsg/Cx3cr1/Cxcl10/Cxcl9/Cyp7b1/Dapk2/Dusp1/F7/Fcer1g/Fcgr3/Flt1/Fpr2/Gpr35/Hsd3b7/Itga1/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Mmp9/Mpp1/Mtus1/Nod2/Padi2/Pla2g7/Ptpro/Rarres2/Retnlg/Slamf8/Slc8b1/Spi1/Spp1/Trpv4/Vav3/Vegfc" 52 "" "" "BP"
"GO:0050900" "GO:0050900" "leukocyte migration" "73/1446" "311/12912" 0.234726688102894 2.09598270870302 6.94767523485717 4.07937905855946e-10 3.48310981950002e-07 3.01659346172423e-07 "Abr/Aire/Alox5/Anxa1/Apod/App/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Ccr2/Cd177/Cd200r1/Cd300a/Cmklr1/Csf1/Csf1r/Csf3r/Ctsg/Cx3cr1/Cxcl10/Cxcl9/Cyp7b1/Dapk2/Dusp1/Emilin1/Ext1/F7/Fcer1g/Fcgr3/Flt1/Fpr2/Fut7/Gp2/Gpr15/Gpr35/Hsd3b7/Itga1/Itgal/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Mmp9/Mpp1/Mtus1/Myd88/Myo1f/Nlrp3/Nod2/Padi2/Pla2g7/Plcb1/Prtn3/Ptafr/Ptpro/Rarres2/Retnlg/Sirpa/Slamf8/Slc8b1/Spi1/Spp1/Tlr2/Trem2/Trpv4/Vav3/Vegfc" 73 "" "" "BP"
"GO:0097530" "GO:0097530" "granulocyte migration" "40/1446" "129/12912" 0.310077519379845 2.76882498632957 7.17003777027281 9.34933875246183e-10 6.84238034698028e-07 5.92593426189874e-07 "Anxa1/Bst1/Ccl2/Ccl22/Ccl3/Ccl4/Ccl5/Ccl9/Cd177/Cd300a/Cmklr1/Csf1/Csf1r/Csf3r/Cxcl10/Cxcl9/Dapk2/Fcer1g/Fcgr3/Fut7/Gp2/Itga1/Itgam/Itgb2/Itgb2l/Jaml/Lbp/Lgals3/Mpp1/Myd88/Myo1f/Nod2/Prtn3/Rarres2/Sirpa/Slamf8/Spp1/Tlr2/Trpv4/Vav3" 40 "" "" "BP"
"GO:0006909" "GO:0006909" "phagocytosis" "52/1446" "194/12912" 0.268041237113402 2.39346366086324 6.94456777139653 1.09403227301091e-09 7.00590916829361e-07 6.06756056676445e-07 "Abr/Anxa1/Axl/Becn1/C3/Ccl2/Ccr2/Cd300a/Cd300lf/Cd302/Cd36/Clec7a/Colec12/Dock1/Eif2ak1/Elmo2/Fcer1g/Fcgr1/Fcgr3/Fgr/Fpr2/Havcr1/Itgal/Itgam/Itgb2/Lbp/Ldlr/Lrp1/Met/Msr1/Myd88/Nfix/Nod2/P2rx7/P2ry6/Pld4/Prtn3/Rab27a/Rab31/Rab34/Scarb1/Siglece/Sirpa/Sirpb1a/Sirpb1c/Slc48a1/Ticam2/Tlr2/Trem2/Trex1/Tyrobp/Xkr8" 52 "" "" "BP"
"GO:0002274" "GO:0002274" "myeloid leukocyte activation" "55/1446" "220/12912" 0.25 2.23236514522822 6.54702250463283 5.68807662255574e-09 3.23777961526145e-06 2.80412198410204e-06 "Abr/Adora2b/Anxa1/App/Ccl3/Ccl5/Ccr2/Cd177/Cd244a/Cd300a/Cd300lb/Cd300lf/Cebpa/Csf1r/Ctsc/Ctsg/Cx3cr1/Fcer1a/Fcer1g/Fcgr3/Fes/Fgr/Fn1/Gab2/Grn/Havcr1/Hmox1/Ifngr1/Il18rap/Irgm1/Itgam/Itgb2/Itgb2l/Lbp/Lcp2/Ldlr/Lilrb4a/Ltbr/Mcub/Milr1/Mmp8/Ms4a2/Myd88/Myo1f/Pilrb1/Pirb/Ptafr/Rab44/Spi1/Tlr2/Tmem106a/Tnfsf9/Trem2/Trex1/Tyrobp" 55 "" "" "BP"
"GO:0048514" "GO:0048514" "blood vessel morphogenesis" "93/1446" "467/12912" 0.199143468950749 1.77824375594196 6.08323722892188 1.57826312654977e-08 7.87877177570723e-06 6.82351480621058e-06 "Acvr1/Adam12/Adam15/Ahr/Alox5/Amotl1/Anxa1/Anxa2/Aplnr/Arhgap22/Bak1/Becn1/C3/Ccl2/Ccl5/Ccr2/Cd36/Cd93/Cfh/Col18a1/Col4a2/Creb3l1/Cx3cr1/Cxcl10/Cybb/Cysltr1/Dab2ip/E2f2/E2f8/Efemp2/Emilin1/Emilin2/Epha1/Epn1/Esm1/F3/Fkbpl/Flt1/Fn1/Foxm1/Foxo4/Glul/Gpld1/Gpr15/Grn/Hgf/Hipk2/Hk2/Hmox1/Hoxb3/Hpgd/Igf2/Itga5/Itgax/Itgb2/Itgb2l/Ldlr/Lgals3/Lif/Lrp1/Lrp5/Megf8/Mmp9/Nox1/Npr2/Nprl3/Nr2f2/Nrp1/Pik3cb/Pik3r6/Pkd2/Plau/Plcd1/Ppp1r15a/Rin2/Rxra/Sema4a/Smo/Spi1/Stat1/Tert/Tgfbi/Tie1/Tnfaip2/Tnfrsf12a/Tnfrsf1a/Tnfsf12/Tnni3/Vav3/Vegfc/Wnt11/Xbp1/Xdh" 93 "" "" "BP"
